City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,Nantucket,US,41.2835,-70.0995,33.91,40,100,20.71,overcast clouds
244,Leshukonskoye,RU,64.8989,45.7622,13.39,92,73,1.79,broken clouds
245,Denpasar,ID,-8.65,115.2167,82.06,83,20,2.3,few clouds
246,Burnie,AU,-41.0667,145.9167,59.94,89,19,12.12,few clouds
247,Juneau,US,58.3019,-134.4197,36.84,91,75,0.0,broken clouds
248,Bilibino,RU,68.0546,166.4372,-24.39,98,11,5.03,few clouds
249,Khandyga,RU,62.6667,135.6,-1.12,95,100,4.09,overcast clouds
250,Cidreira,BR,-30.1811,-50.2056,76.12,54,0,6.89,clear sky
251,Katsuura,JP,35.1333,140.3,53.15,65,100,13.06,overcast clouds
252,Yabrud,SY,33.9674,36.6574,47.95,44,0,3.89,clear sky
253,Egvekinot,RU,66.3167,-179.1667,-7.6,90,8,9.89,clear sky
254,Itaituba,BR,-4.2761,-55.9836,82.15,88,100,3.96,overcast clouds
255,Saint George,US,37.1041,-113.5841,67.24,17,0,9.22,clear sky
256,Yerofey Pavlovich,RU,53.9667,121.9667,8.76,96,20,4.07,few clouds
257,Sabzevar,IR,36.2126,57.6819,57.96,24,0,7.2,clear sky
258,Monzon,ES,41.9108,0.1941,67.06,34,100,10.67,overcast clouds
259,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,69,76,7.54,broken clouds
260,Salalah,OM,17.0151,54.0924,80.69,61,0,3.44,clear sky
261,Hervey Bay,AU,-25.2986,152.8535,69.03,87,22,13.0,few clouds
262,Bull Savanna,JM,17.8868,-77.5902,82.17,48,24,3.69,few clouds
263,Kirakira,SB,-10.4544,161.9205,79.99,85,100,5.41,overcast clouds
264,Mananara,MG,-16.1667,49.7667,77.74,87,36,3.76,scattered clouds
265,Baykit,RU,61.67,96.37,-0.49,100,62,2.91,broken clouds
266,Karratha,AU,-20.7377,116.8463,83.12,69,99,7.81,overcast clouds
267,Lincoln,US,40.8,-96.667,45.18,46,0,18.41,clear sky
268,Tilichiki,RU,60.4667,166.1,19.51,85,100,31.0,light snow
269,Ponta Do Sol,PT,32.6667,-17.1,67.12,62,99,3.31,overcast clouds
270,Airai,TL,-8.9266,125.4092,59.95,94,98,0.69,overcast clouds
271,Araceli,PH,10.5529,119.9913,80.83,79,100,9.33,heavy intensity rain
272,Souillac,MU,-20.5167,57.5167,79.18,78,20,2.3,few clouds
273,Plettenberg Bay,ZA,-34.0527,23.3716,67.95,80,100,5.44,overcast clouds
274,Ayan,RU,56.45,138.1667,8.56,82,83,5.61,broken clouds
275,Viransehir,TR,37.2353,39.7631,48.63,59,1,8.14,clear sky
276,Preobrazheniye,RU,42.9019,133.9064,34.61,67,0,8.03,clear sky
277,Zhicheng,CN,30.2956,111.5047,56.8,76,48,6.62,scattered clouds
278,Filadelfia,US,39.9523,-75.1638,35.35,39,100,19.57,overcast clouds
279,Pangnirtung,CA,66.1451,-65.7125,21.2,71,0,2.26,clear sky
280,Pacific Grove,US,36.6177,-121.9166,55.65,88,0,4.61,clear sky
281,Whitianga,NZ,-36.8333,175.7,60.03,82,59,8.21,broken clouds
282,Gladstone,AU,-23.85,151.25,69.73,83,5,4.61,clear sky
283,Cockburn Town,TC,21.4612,-71.1419,80.56,47,40,13.8,scattered clouds
284,San Rafael,AR,-34.6177,-68.3301,81.79,21,0,6.35,clear sky
285,Pasni,PK,25.2631,63.471,80.33,64,0,20.74,clear sky
286,Muros,ES,42.7762,-9.0603,69.67,58,100,0.47,overcast clouds
287,Kungurtug,RU,50.5994,97.5228,10.2,95,21,1.48,few clouds
288,Katherine,AU,-14.4667,132.2667,77.32,78,98,1.14,overcast clouds
289,Laguna,US,38.421,-121.4238,55.69,89,100,0.0,overcast clouds
290,Port Hardy,CA,50.6996,-127.4199,42.8,100,75,2.3,broken clouds
291,Tunduma,TZ,-9.3,32.7667,62.29,91,85,3.56,moderate rain
292,Dongsheng,CN,39.8161,109.9776,47.3,56,90,24.43,overcast clouds
293,Rassvet,RU,46.8333,40.75,37.99,52,18,22.37,few clouds
294,Padang,ID,-0.9492,100.3543,76.28,77,34,4.25,scattered clouds
295,Wadi Musa,JO,30.3222,35.4793,58.44,24,0,13.53,clear sky
296,Faanui,PF,-16.4833,-151.75,82.29,70,16,14.61,few clouds
297,Saint-Philippe,RE,-21.3585,55.7679,80.19,76,88,3.04,overcast clouds
298,Chaman,PK,30.9236,66.4512,71.94,15,0,1.77,clear sky
